Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7,value
2020-05-18,18.05.20 00:00,68,0.0,5.2,3.7,15.6,12.6,12.3,0.0,13.299999999999972,27.199999999999974,84.69999999999997,106.59999999999997,106.59999999999998,12.299999999999995,10.614285714285716,95.0
2020-05-19,19.05.20 00:00,68,0.0,5.6,4.1,17.3,13.2,12.7,0.0,11.599999999999971,25.499999999999975,75.09999999999998,106.59999999999997,106.59999999999998,12.451999999999996,12.1,91.0
2020-05-20,20.05.20 00:00,65,0.0,6.4,4.4,17.9,13.8,13.3,0.0,5.999999999999971,25.499999999999975,69.89999999999998,106.49999999999997,106.59999999999998,12.531999999999996,13.5,107.0
2020-05-21,21.05.20 00:00,72,0.0,7.5,4.7,17.4,13.9,13.5,0.0,0.19999999999997176,25.499999999999975,51.79999999999997,105.49999999999997,106.59999999999998,12.667999999999996,14.714285714285714,89.0
2020-05-22,22.05.20 00:00,77,0.0,8.7,5.0,17.7,14.2,13.8,0.0,-2.8255175976710234e-14,25.499999999999975,40.199999999999974,105.49999999999997,106.59999999999998,12.763999999999994,15.771428571428572,89.0
2020-05-23,23.05.20 00:00,95,12.4,9.4,5.2,13.9,14.5,14.0,11.099999999999994,11.099999999999966,35.499999999999964,51.19999999999997,95.79999999999997,117.69999999999997,12.823999999999995,16.214285714285715,95.0
2020-05-24,24.05.20 00:00,79,0.0,9.4,5.4,11.9,13.6,13.5,0.1,11.199999999999966,24.49999999999997,50.79999999999997,86.29999999999997,117.79999999999997,12.875999999999992,15.957142857142859,98.0
2020-05-25,25.05.20 00:00,76,0.0,8.9,5.5,13.5,13.4,13.3,0.0,11.199999999999966,22.799999999999972,38.39999999999997,81.09999999999997,117.69999999999997,13.027999999999993,15.65714285714286,95.0
2020-05-26,26.05.20 00:00,70,0.0,9.4,5.6,14.3,13.8,13.4,0.0,11.199999999999966,17.19999999999997,36.69999999999997,62.99999999999996,116.69999999999997,13.215999999999992,15.228571428571431,95.0
2020-05-27,27.05.20 00:00,63,0.0,9.9,5.7,14.8,14.4,14.0,0.0,11.199999999999966,11.399999999999972,36.69999999999997,51.39999999999996,116.69999999999997,13.403999999999991,14.78571428571429,85.0
2020-05-28,28.05.20 00:00,70,0.0,10.5,5.8,14.8,15.1,14.7,0.0,11.199999999999966,11.199999999999973,36.69999999999997,51.29999999999996,95.89999999999998,13.599999999999993,14.41428571428572,84.0
2020-05-29,29.05.20 00:00,58,0.0,11.0,5.9,14.5,15.4,15.0,0.0,11.199999999999966,11.199999999999973,36.69999999999997,50.79999999999996,86.29999999999998,13.603999999999994,13.95714285714286,83.0
2020-05-30,30.05.20 00:00,64,0.0,11.2,6.1,13.9,15.5,15.2,0.0,0.09999999999997122,11.199999999999973,35.599999999999966,38.39999999999996,81.09999999999998,13.699999999999994,13.95714285714286,80.0
2020-05-31,31.05.20 00:00,62,0.0,10.9,6.3,14.2,15.7,15.4,0.0,-2.8782531913407183e-14,11.199999999999973,24.49999999999997,36.69999999999996,62.99999999999997,13.843999999999992,14.28571428571429,77.0
2020-05-06,05.06.20 00:00,90,8.3,15.7,8.0,12.5,15.9,16.0,7.699999999999998,18.599999999999966,18.699999999999974,29.79999999999997,43.09999999999996,55.29999999999997,13.951999999999993,15.21428571428572,103.0
