Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7
2020-03-27,27.03.20 00:00,74,0.0,7.2,4.6,4.4,5.5,5.7,0.0,-9.880984919163893e-15,0.9000000000000032,11.2,32.199999999999996,59.99999999999999,5.792000000000002,3.2999999999999994
2020-03-28,28.03.20 00:00,75,0.0,7.5,4.7,7.8,6.2,6.1,0.0,-9.880984919163893e-15,0.9000000000000032,11.2,23.099999999999998,53.099999999999994,5.956000000000002,3.5428571428571423
2020-03-29,29.03.20 00:00,85,6.6,7.9,4.9,4.6,6.6,6.6,6.899999999999998,6.899999999999988,7.700000000000001,15.899999999999997,28.399999999999995,59.99999999999999,5.992000000000003,3.642857142857143
2020-03-30,30.03.20 00:00,83,2.1,7.9,5.0,1.4,5.8,6.2,1.5000000000000002,8.399999999999988,9.200000000000001,9.5,21.599999999999998,53.099999999999994,5.824000000000003,3.514285714285714
2020-03-31,31.03.20 00:00,61,0.0,7.4,5.1,2.1,5.2,5.7,0.0,8.399999999999988,8.8,9.3,20.799999999999997,44.0,5.692000000000003,3.4857142857142853
2020-01-04,01.04.20 00:00,62,0.0,7.3,5.1,3.1,5.2,5.5,0.0,8.399999999999988,8.8,9.3,19.599999999999998,40.6,5.672000000000002,3.5714285714285716
2020-02-04,02.04.20 00:00,63,0.0,7.5,5.3,5.1,5.4,5.7,0.0,8.399999999999988,8.4,9.3,19.599999999999998,31.500000000000004,5.7520000000000024,4.071428571428571
2020-03-04,03.04.20 00:00,62,0.0,7.8,5.4,6.8,6.1,6.1,0.0,8.399999999999988,8.4,9.3,17.4,29.900000000000002,5.808000000000003,4.414285714285714
2020-04-04,04.04.20 00:00,66,0.0,8.2,5.6,7.5,6.5,6.5,0.0,8.399999999999988,8.4,9.3,9.5,21.600000000000005,5.932000000000003,4.371428571428571
2020-05-04,05.04.20 00:00,63,0.0,8.6,5.8,8.9,6.9,6.8,0.0,1.4999999999999902,8.4,9.200000000000001,9.3,20.800000000000004,5.836000000000002,4.985714285714286
2020-06-04,06.04.20 00:00,63,0.0,9.1,6.0,10.6,7.4,7.2,0.0,-9.992007221626409e-15,8.4,9.200000000000001,9.3,19.600000000000005,5.812000000000003,6.3
2020-07-04,07.04.20 00:00,63,0.0,9.7,6.2,11.8,7.9,7.6,0.0,-9.992007221626409e-15,8.4,8.8,9.3,19.600000000000005,6.0000000000000036,7.685714285714286
2020-08-04,08.04.20 00:00,61,0.0,10.4,6.4,12.4,8.4,8.0,0.0,-9.992007221626409e-15,8.4,8.8,9.3,17.400000000000006,6.336000000000004,9.014285714285714
2020-09-04,09.04.20 00:00,61,0.0,11.2,6.7,12.6,8.9,8.5,0.0,-9.992007221626409e-15,8.4,8.4,9.3,9.500000000000007,6.628000000000003,10.085714285714287
2020-10-04,10.04.20 00:00,60,0.0,12.3,7.1,12.8,9.1,8.8,0.0,-9.992007221626409e-15,8.4,8.4,9.200000000000001,9.300000000000008,6.832000000000004,10.942857142857145
