Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm
01.04.20 00:00,62,0,7.3,5.1,3.1,5.2,5.5
02.04.20 00:00,63,0,7.5,5.3,5.1,5.4,5.7
03.04.20 00:00,62,0,7.8,5.4,6.8,6.1,6.1
04.04.20 00:00,66,0,8.2,5.6,7.5,6.5,6.5
05.04.20 00:00,63,0,8.6,5.8,8.9,6.9,6.8
06.04.20 00:00,63,0,9.1,6,10.6,7.4,7.2
07.04.20 00:00,63,0,9.7,6.2,11.8,7.9,7.6
08.04.20 00:00,61,0,10.4,6.4,12.4,8.4,8
09.04.20 00:00,61,0,11.2,6.7,12.6,8.9,8.5
10.04.20 00:00,60,0,12.3,7.1,12.8,9.1,8.8
11.04.20 00:00,62,0,13.7,7.5,13,9.3,9
12.04.20 00:00,62,0,15.4,8.1,13.7,9.6,9.3
13.04.20 00:00,55,0,17.6,8.8,15.3,10.3,9.7
14.04.20 00:00,52,0,20.8,9.7,7.8,10.3,10
15.04.20 00:00,56,0,23.6,10.5,8.6,9.4,9.5
16.04.20 00:00,63,0,28.4,11.7,12.2,9.5,9.4
17.04.20 00:00,67,0,33.3,13.4,14.7,10.1,9.7
18.04.20 00:00,69,0,39.2,15.7,15,10.7,10.2
19.04.20 00:00,72,0,44.8,18.6,15.3,11,10.5
20.04.20 00:00,65,0,52.4,22.6,14.3,11.7,10.9
21.04.20 00:00,60,0,58.9,26.3,12.6,11.4,11
22.04.20 00:00,52,0,63.7,31.2,13.6,11.1,10.8
23.04.20 00:00,54,0,68.5,37.2,13.4,11.1,10.8
24.04.20 00:00,61,0,72,44,13.5,11.1,10.9
25.04.20 00:00,64,0.1,73.6,51.3,15.9,11.6,11.1
26.04.20 00:00,66,1.1,75.1,59.1,14,12.2,11.6
27.04.20 00:00,73,0.1,76.4,65.3,15.3,12.5,11.9
28.04.20 00:00,95,21.7,77.4,69.9,12.4,12.7,12.1
29.04.20 00:00,88,9.4,77.9,70.6,10.6,12.3,11.9
30.04.20 00:00,95,5.7,77.6,70.1,9.7,11.9,11.8
01.05.20 00:00,94,19.2,69.2,68.6,9.6,11.6,11.5
02.05.20 00:00,93,13.6,4.7,59.2,10.1,11.5,11.3
03.05.20 00:00,86,0,3,49.3,9.9,11.5,11.3
04.05.20 00:00,83,0.5,3.1,43.2,14.4,12.1,11.7
05.05.20 00:00,99,13.3,2.5,35.7,11.5,12.5,12.1
06.05.20 00:00,81,1.6,1.8,17.4,10.6,12.3,12
07.05.20 00:00,73,0,3,3,11.6,11.9,11.8
08.05.20 00:00,77,0,3.8,3.8,15.9,12.3,12
09.05.20 00:00,71,0.1,4.7,4.7,18.6,13.3,12.6
10.05.20 00:00,81,1.2,5.5,5.4,18.2,14.2,13.3
11.05.20 00:00,96,13.1,7.2,5.8,11.4,14.2,13.7
12.05.20 00:00,84,1.6,3.7,5.4,6.9,12.8,12.9
13.05.20 00:00,99,6.3,3.6,3.8,8.1,12.2,12.3
14.05.20 00:00,95,5.8,2,1.3,8.9,12,12
15.05.20 00:00,87,0.3,3,1.9,10.3,11.9,11.9
16.05.20 00:00,81,0,3.9,2.5,10.8,11.7,11.7
17.05.20 00:00,73,0,4.4,3.2,13.7,12.2,11.9
18.05.20 00:00,68,0,5.2,3.7,15.6,12.6,12.3
19.05.20 00:00,68,0,5.6,4.1,17.3,13.2,12.7
20.05.20 00:00,65,0,6.4,4.4,17.9,13.8,13.3
21.05.20 00:00,72,0,7.5,4.7,17.4,13.9,13.5
22.05.20 00:00,77,0,8.7,5,17.7,14.2,13.8
23.05.20 00:00,95,12.4,9.4,5.2,13.9,14.5,14
24.05.20 00:00,79,0,9.4,5.4,11.9,13.6,13.5
25.05.20 00:00,76,0,8.9,5.5,13.5,13.4,13.3
26.05.20 00:00,70,0,9.4,5.6,14.3,13.8,13.4
27.05.20 00:00,63,0,9.9,5.7,14.8,14.4,14
28.05.20 00:00,70,0,10.5,5.8,14.8,15.1,14.7
29.05.20 00:00,58,0,11,5.9,14.5,15.4,15
30.05.20 00:00,64,0,11.2,6.1,13.9,15.5,15.2
31.05.20 00:00,62,0,10.9,6.3,14.2,15.7,15.4
01.06.20 00:00,63,0,11.7,6.6,16,16.1,15.7
02.06.20 00:00,62,0,12.6,7,17.6,16.7,16.2
03.06.20 00:00,66,0,14,7.4,17.6,17.1,16.7
04.06.20 00:00,93,11.4,15.1,7.9,14.7,17,16.7
05.06.20 00:00,90,8.3,15.7,8,12.5,15.9,16
06.06.20 00:00,81,2.5,16.1,8.2,15.7,15.7,15.6
07.06.20 00:00,94,16.2,9.5,8.5,12,16,15.8
08.06.20 00:00,82,3,3.1,8.6,13.7,16.1,15.7
09.06.20 00:00,96,3.7,2.2,8,12.4,16.1,15.9
10.06.20 00:00,95,11.5,2.2,5.9,13.6,16,15.7
11.06.20 00:00,86,0.4,1.8,1.3,15.1,16.3,15.8
12.06.20 00:00,75,0,3,2.3,18.2,17.1,16.4
13.06.20 00:00,87,12.2,3.4,2.9,16.5,17.9,17.1
